"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"C.g",0.06541,FALSE,FALSE,FALSE,0.231983362319864,FALSE,FALSE,0.646376208491225,FALSE,FALSE,0.429696979138203,FALSE,FALSE,0.425903377373864,FALSE,FALSE,0.304700162677599,FALSE,FALSE,0.238654669353874
"C.h",0.13265,FALSE,FALSE,TRUE,1.02924827286433e-18,FALSE,TRUE,4.34285076303414e-12,FALSE,TRUE,8.54016047376209e-11,FALSE,TRUE,4.5487922866961e-07,FALSE,TRUE,0.00066112952964669,FALSE,TRUE,0.0108475230036914
"C.i",0.10901,FALSE,FALSE,TRUE,6.58762913946297e-12,FALSE,TRUE,5.83684944417099e-08,FALSE,TRUE,5.90067078841169e-07,FALSE,TRUE,9.29578113106642e-05,FALSE,TRUE,0.00667909251766055,FALSE,TRUE,0.0441259928022586
"C.j",0.05609,FALSE,FALSE,FALSE,0.899115261386525,FALSE,FALSE,0.287448094484349,FALSE,FALSE,0.949313085178876,FALSE,FALSE,0.643195219915294,FALSE,FALSE,0.585158240061288,FALSE,FALSE,0.599418449092591
"D.a",0.02848,FALSE,FALSE,FALSE,0.250081875471124,FALSE,FALSE,0.162123408651718,FALSE,FALSE,0.402729655179403,FALSE,FALSE,0.438913851127981,FALSE,FALSE,0.787231427968288,FALSE,FALSE,0.951440382833509
"D.b",0.1729,FALSE,FALSE,TRUE,1.19867790179851e-15,FALSE,TRUE,1.44576425031606e-14,FALSE,TRUE,4.30764359175734e-09,FALSE,TRUE,1.61590303311087e-08,FALSE,TRUE,0.0018703212701212,FALSE,TRUE,0.00362393310809702
"D.c",0.07486,FALSE,FALSE,FALSE,0.428359591018345,FALSE,FALSE,0.455177648659012,FALSE,FALSE,0.590713594958725,FALSE,FALSE,0.280091621356807,FALSE,FALSE,0.31652397444553,FALSE,FALSE,0.120704943417193
"D.d",0.18003,FALSE,FALSE,TRUE,1.65538662422166e-10,FALSE,TRUE,1.55567687561932e-11,FALSE,TRUE,3.29490390281749e-06,FALSE,TRUE,8.79467670654298e-07,FALSE,TRUE,0.0117068837778377,FALSE,TRUE,0.0103780091969966
"D.e",0.16312,FALSE,FALSE,FALSE,0.987278588847647,FALSE,FALSE,0.129606669174275,FALSE,FALSE,0.993161126790701,FALSE,FALSE,0.0777234063789163,FALSE,FALSE,0.549588662834047,TRUE,FALSE,0.0349029341809644
"D.f",0.23441,FALSE,FALSE,FALSE,0.475296719411123,FALSE,FALSE,0.374399951046362,FALSE,FALSE,0.621727876385467,FALSE,FALSE,0.226450532693751,FALSE,FALSE,0.318417505234959,FALSE,FALSE,0.093557865487627
"D.g",0.13439,FALSE,FALSE,TRUE,3.58785517421888e-14,FALSE,TRUE,1.44123958504078e-12,FALSE,TRUE,2.88575987052385e-08,FALSE,TRUE,2.13915526123805e-07,FALSE,TRUE,0.00206539077934476,FALSE,TRUE,0.00515347283043766
